ID,Name,Population_increase_pct,Over65_pct_2010,Under15_pct_2010,Age_median_2010,Man_divided_by_Woman_ratio_2010,Kakukazoku_pct_2010,Single_over65_households_pct_2010,Twins_over65_households_pct_2010,Workers_over15_pct_2010,Primary_workers_pct_2010,Industrial_workers_pct_2010,Hiru_divided_Yoru_ratio_2010,A_Agriculture,B_Fishery,C_Mining,D_Construction,E_Manufacturer,F_Utility,G_IT,H_Logistics,I_Distributor,J_Financial_business,K_Real_Estate,L_Academic,M_Restaurant,N_Entertainment,O_Edudation,P_Medical,Q_Combined_Service,R_Other_Services,S_Public,T_Others
1101,北海道札幌市中央区,7.990862396,18.7349269,10.10550602,42.28360434,82.88426718,0.413753358,0.094016385,0.064927527,0.466712688,0.299817601,7.90127679,169.3127268,0.002413273,0.000145964,0.000136233,0.039663309,0.027645599,0.005974797,0.045336447,0.028190532,0.167819783,0.036413176,0.035041113,0.049656984,0.084279667,0.039887121,0.052741692,0.128146743,0.002890089,0.066345546,0.040869946,0.146401985
1102,北海道札幌市北区,2.385743648,20.15084499,12.3128845,43.34575,90.5543404,0.549111878,0.086424021,0.095450582,0.430093873,0.569074654,17.57295431,96.64216715,0.00517089,0.000175143,0.000133442,0.108021551,0.056929826,0.004895665,0.028815199,0.062451002,0.195659789,0.024620106,0.026154693,0.034528198,0.061300062,0.040382979,0.059415189,0.116962186,0.004528698,0.077096295,0.032184617,0.060574469
1103,北海道札幌市東区,2.423858711,19.36760754,12.24377709,42.55160281,91.35126646,0.546084307,0.092993502,0.087337127,0.452865289,0.44935656,17.28875461,94.99204684,0.003952501,0.000103559,0.000103559,0.099114571,0.056836618,0.004850012,0.030713867,0.065544202,0.201534399,0.020754945,0.027822845,0.031827126,0.060452553,0.037298491,0.036815216,0.110204011,0.003814422,0.07893783,0.031956574,0.097362698
1104,北海道札幌市白石区,2.698045129,19.08540693,11.65144967,42.23388838,90.38915039,0.500632829,0.090639108,0.077264981,0.475102688,0.378779049,17.92615557,98.7246584,0.003266559,0.0000824,0.0000618,0.098779935,0.059653353,0.002720415,0.035344792,0.07457442,0.194818845,0.020537076,0.027410247,0.032964429,0.058767157,0.040816537,0.026338568,0.106879354,0.003637525,0.078077985,0.019424179,0.115844359
1105,北海道札幌市豊平区,3.146361931,20.2287294,11.13020345,42.87395478,87.4529419,0.483013335,0.095551156,0.08173023,0.463831452,0.282261721,12.52720595,89.78115954,0.002439347,0.0000915,0.000182951,0.071045972,0.041092827,0.003882627,0.041855123,0.04857349,0.184638214,0.029922652,0.032555114,0.042525943,0.075101385,0.044548568,0.042962993,0.11232175,0.004065578,0.080823686,0.037992824,0.103377479
1106,北海道札幌市南区,-3.405060783,25.7557677,10.71379585,49.89380976,86.97185348,0.623814239,0.114455907,0.134498068,0.43591338,0.811935799,11.91353055,87.61932746,0.007320667,0.000109732,0.000548658,0.078332706,0.030144846,0.005392526,0.026304239,0.050507901,0.171980813,0.029078881,0.02699398,0.034831954,0.077878104,0.043516428,0.049300853,0.119905317,0.004122774,0.080903562,0.07797216,0.0848539
1107,北海道札幌市西区,1.227577653,21.51593307,11.7813021,45.21332694,86.69866271,0.58461155,0.098626068,0.102021954,0.45751767,0.380801178,16.04196866,89.78644031,0.003311224,0.000113823,0.000113823,0.075847725,0.068325038,0.003921731,0.032460343,0.051737875,0.192909842,0.024006374,0.026282841,0.039196614,0.055566478,0.037427179,0.045167165,0.124698627,0.003911383,0.070777413,0.043656419,0.100568082
1108,北海道札幌市厚別区,-0.518320207,21.93538847,11.95725771,46.84723049,84.9950329,0.667129321,0.095251314,0.121622622,0.434556237,0.486454268,14.06871888,91.09983501,0.004369862,0.000161183,0.000107456,0.069022333,0.061912352,0.00761144,0.042337518,0.075093576,0.196607984,0.032362054,0.02582517,0.037305013,0.052939807,0.037358741,0.057757401,0.117556459,0.004638501,0.077135233,0.031341225,0.068556692
1109,北海道札幌市手稲区,1.014723153,21.54596429,12.49418151,46.70814607,89.36063462,0.690998054,0.08094294,0.117376357,0.435220991,0.501637288,19.88957012,82.75901578,0.004475451,0.000263262,0.000246808,0.088192708,0.09944715,0.004310912,0.024252995,0.080591023,0.20012834,0.021752007,0.021044491,0.028465184,0.053985126,0.04118402,0.046696064,0.123206529,0.004426089,0.072512176,0.029468869,0.055350796
1110,北海道札幌市清田区,-0.647407369,19.36262095,13.83878362,45.29006505,90.4761127,0.711435797,0.067270769,0.111360869,0.428892376,0.504222867,16.86835581,83.73421141,0.004638423,0.000159946,0.0001,0.102545135,0.057880321,0.006037947,0.028630266,0.084351321,0.214467081,0.027210748,0.025291401,0.032488954,0.055301198,0.044444889,0.050502829,0.112541736,0.004378511,0.072775256,0.027890517,0.048363556
